2	0.009702423
4	0.018980439
6	0.028016233
8	0.036609705
10	0.044633966
12	0.052533502
14	0.059518863
16	0.067059568
18	0.074507316
20	0.080802131
22	0.086433025
24	0.093510422
26	0.098180579
28	0.103984434
30	0.110309935
32	0.114398904
34	0.11972294
36	0.124994628
38	0.126947086
40	0.129336676
42	0.131835475
44	0.134459745
46	0.135020175
48	0.139876645
50	0.138428736
52	0.142218451
54	0.1417739
56	0.142390446
58	0.14416097
60	0.146419164
62	0.14841839
64	0.14826994
66	0.149763286
68	0.151353827
70	0.152300932
